CIR:60416-40964j,60416+60069j,60416+60416j,60416+60416j,60416+60416j,-33531-10339j,-58825-56440j,8189-3905j,39370+28294j,-1973+6916j,-22197-15984j,-14694-15241j,-12553-5611j,-24271-9073j,-29169-29994j,-10529-31387j,47-19961j,47-828j,47+48j,46+47j,46+46j,-3857-3083j,-941+179j,-13264+341j,-9152+353j,-7611+1495j,-7034-811j,-14317-7704j,-20184-14068j,-15500-12462j,-6852-1265j,-2010+4995j,55+4760j,56+241j,56+56j,56+56j,55+55j,-5809-4809j,-837-1616j,-4653+2350j,-9226+9422j,-17203+8686j,-10510+1262j,-3433-6223j,-161-10504j,-2780-9641j,-6363-4508j,-5091-195j,
CIR:60416-38994j,60416+60358j,60416+60416j,60416+60416j,60416+60415j,-34829-11253j,-58942-56486j,8907-2443j,39645+29287j,-2069+7121j,-22557-15957j,-14965-15371j,-12654-5839j,-24384-9242j,-28989-30355j,-9833-31396j,47-21841j,47-260j,47+47j,47+47j,41+49j,-3891-2934j,-1077+241j,-13115+419j,-8868+184j,-7954+1464j,-7379-1069j,-14634-7869j,-20218-14132j,-15633-12399j,-6671-1267j,-1951+4916j,56+4768j,56+137j,56+56j,56+56j,50+59j,-5712-4471j,-747-1523j,-4350+2670j,-9294+9336j,-17478+8311j,-10740+1152j,-3491-6268j,32-10402j,-2558-9603j,-6439-4755j,-5217-249j,
CIR:60416-38964j,60416+60348j,60416+60416j,60416+60416j,60412+60413j,-35049-10481j,-58999-56359j,7953-2018j,39277+29506j,-2307+7312j,-22645-15834j,-15282-15612j,-12701-6135j,-24246-9352j,-29259-30041j,-9971-31299j,47-21805j,47-264j,46+48j,46+47j,34+39j,-3739-3432j,-972+59j,-13648+221j,-9422+103j,-7920+1239j,-7344-1222j,-14610-8140j,-20337-14279j,-15542-12723j,-6498-1523j,-1683+4815j,55+4893j,55+113j,54+56j,55+55j,45+54j,-5815-4546j,-709-1395j,-4704+2751j,-9430+9241j,-17444+8019j,-10615+961j,-3141-6304j,44-10483j,-2513-9728j,-6507-4790j,-5079-254j,
CIR:60416-38855j,60416+60353j,60416+60416j,60416+60416j,60414+60415j,-35337-10660j,-59120-56298j,7208-2480j,38936+29036j,-2366+7058j,-22965-15759j,-15282-15129j,-12524-5500j,-23837-8754j,-28862-29469j,-10102-30964j,47-21933j,47-257j,46+47j,46+47j,36+43j,-3571-3179j,-883+85j,-13408+274j,-9319-78j,-8044+702j,-7022-1808j,-14345-8265j,-20140-14284j,-15685-12640j,-6665-1568j,-1602+4821j,56+5040j,56+142j,55+56j,55+56j,47+55j,-5589-4440j,-688-1417j,-4122+2922j,-9613+9198j,-17640+7850j,-10546+910j,-3195-6382j,196-10680j,-2109-9900j,-6165-4978j,-5014-265j,
CIR:60416-38919j,60416+60334j,60416+60416j,60416+60416j,60412+60409j,-35781-11178j,-59147-56499j,7289-3063j,38942+28036j,-2522+6348j,-22968-15364j,-15565-14429j,-12357-5344j,-23689-8745j,-29041-29579j,-10082-31139j,46-21894j,47-247j,47+47j,47+47j,34+35j,-3681-3157j,-863+51j,-13493+208j,-9365-365j,-7949+593j,-7029-1944j,-14040-8691j,-20095-14645j,-15774-12904j,-6572-1564j,-1618+4734j,55+4859j,56+96j,56+56j,56+56j,45+50j,-5377-3977j,-672-1209j,-4333+3136j,-9660+8972j,-17579+7774j,-10647+1020j,-3118-5922j,526-10381j,-2020-9937j,-6210-5182j,-5072-304j,
CIR:60416-39072j,60416+60325j,60416+60416j,60416+60416j,60415+60404j,-36081-10430j,-59222-56444j,6993-3916j,39502+26848j,-1769+5631j,-23009-15231j,-15662-13508j,-12236-4219j,-23315-7987j,-29036-29859j,-10117-31175j,46-21784j,47-211j,47+47j,47+47j,38+36j,-3465-3875j,-849+152j,-13650+343j,-9276-370j,-7712+83j,-6641-2271j,-14011-8797j,-20530-14503j,-15861-12753j,-6311-1886j,-1490+4725j,55+4856j,56+113j,56+56j,55+56j,42+55j,-5414-3647j,-644-1082j,-4761+3341j,-9592+9408j,-17717+7932j,-10680+1361j,-2962-5651j,527-10177j,-2098-9968j,-6266-4962j,-4916-208j,
CIR:60416-38583j,60416+60323j,60416+60416j,60416+60416j,60413+60409j,-37394-11677j,-59257-56196j,8425-3921j,39827+25970j,-1441+5020j,-22926-15433j,-15303-13136j,-11636-3546j,-22724-7623j,-28385-28860j,-10027-30919j,47-21955j,47-276j,47+47j,47+47j,32+37j,-3211-4016j,-894+107j,-13470+282j,-9109-452j,-7538+257j,-6556-2251j,-13692-8769j,-19911-14742j,-15658-12789j,-6362-1655j,-1473+4854j,56+4717j,55+111j,55+56j,55+56j,45+43j,-5106-3238j,-633-1106j,-4528+3585j,-9323+9260j,-17609+7794j,-10585+1051j,-2976-5776j,529-10352j,-2137-9815j,-6254-5032j,-4956-62j,
CIR:60416-38521j,60416+60379j,60416+60416j,60416+60416j,60416+60412j,-37323-11227j,-59372-56181j,7953-3840j,40350+25932j,-504+4427j,-22293-15697j,-15327-13163j,-11215-3483j,-22002-7456j,-27999-29024j,-10302-31008j,47-22160j,48-207j,47+48j,47+47j,39+32j,-3170-4175j,-834+201j,-13627+685j,-8984-342j,-7535+56j,-6574-2286j,-13850-8799j,-20256-14757j,-15976-13029j,-6591-1900j,-1760+4944j,56+5072j,56+67j,56+56j,56+56j,51+54j,-4976-2844j,-602-919j,-4529+3902j,-9346+9459j,-17898+7652j,-10908+910j,-3247-5694j,569-10387j,-1795-10213j,-6077-5358j,-5117-285j,
CIR:60416-38702j,60416+60372j,60416+60416j,60416+60416j,60413+60414j,-36546-9413j,-59386-56499j,7036-3791j,40848+26209j,558+4755j,-21789-15607j,-14769-13627j,-10506-4236j,-20894-7840j,-27336-29025j,-10093-30839j,47-22184j,47-200j,47+47j,47+47j,35+40j,-3140-4172j,-828+324j,-13927+669j,-8956-467j,-7535+19j,-6706-2297j,-13946-8494j,-20663-14485j,-16427-12700j,-7098-1859j,-1849+4785j,56+4913j,55+123j,55+56j,55+56j,47+54j,-5049-2938j,-546-995j,-4826+4094j,-9418+9653j,-18192+7950j,-11049+1153j,-3257-5825j,674-10482j,-1950-10316j,-6407-5415j,-5070-356j,
CIR:60416-38410j,60416+60368j,60416+60416j,60416+60416j,60415+60416j,-36708-9709j,-59407-56271j,6292-3879j,40325+25990j,397+4870j,-21529-14956j,-14463-12668j,-10162-3754j,-20706-7945j,-26902-29393j,-9767-31173j,47-22361j,46-241j,47+46j,47+47j,41+38j,-2989-4213j,-758+194j,-13907+492j,-9157-383j,-7521+94j,-6676-2546j,-13915-8953j,-20443-14708j,-16349-13005j,-6906-2084j,-1812+4791j,55+5000j,54+126j,55+55j,56+56j,50+59j,-5118-2734j,-590-885j,-5028+4113j,-9511+9845j,-18166+7803j,-11364+1148j,-3498-5822j,381-10514j,-2132-10433j,-6483-5401j,-5097-211j,
